COUNTY,BEACH_OR_CITY_NAME,ACCESS_NAME,LOCATION_ADDRESS,ACCESS_SIGN,ENTRANCE_FEE,ENTRANCE_FEE_AMOUNT,PARKING_FEE,PARKING_FEE_AMOUNT,REGULAR_PARKING,NUMBER_OF_SPACES,ADA_PARKING,ADA_SPACES,LIFEGUARD,RESTROOM,SHOWER,ADA_ACCESSIBLE,BOARDWALK_TRAIL,SITE_ID,ACCESS_STATUS,BEACH_NAME_AND_COUNTY,FULL_ACCESS_NAME,LAT_LON_COORDS
Pinellas,Treasure Island,Beach Park,104th Ave. & Gulf Blvd.,Yes,No,0.0,No,0.0,Yes,65,Yes,2.0,No,Yes,Yes,Yes,Yes,FL236,Full Access With Parking,Treasure Island Pinellas County,Treasure Island Pinellas County Beach Park 104th Ave. & Gulf Blvd.,"27.76641389, -82.76856667"
Pinellas,Indian Rocks Beach,3rd Avenue,3rd Avenue & Gulf Blvd.,Yes,No,0.0,No,0.0,Yes,4,Yes,1.0,No,No,Yes,No,Yes,FL109,Full Access,Indian Rocks Beach Pinellas County,Indian Rocks Beach Pinellas County 3rd Avenue 3rd Avenue & Gulf Blvd.,"27.880544, -82.850526"
Bay,Gulf Lagoon Beach,Apalachee Street,30 feet East of Appalachee Street; & Surf Drive,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL832,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County Apalachee Street 30 feet East of Appalachee Street; & Surf Drive,"30.16105852, -85.78130171"
Pinellas,Treasure Island,St. Petersburg Municipal Beach,W of 112th Ave. & Gulf Blvd.,Yes,No,0.0,Yes,0.0,Yes,121,Yes,5.0,No,Yes,No,No,Yes,FL239,Full Access With Parking,Treasure Island Pinellas County,Treasure Island Pinellas County St. Petersburg Municipal Beach W of 112th Ave. & Gulf Blvd.,"27.771746, -82.772276"
Bay,Gulf Lagoon Beach,west of Ocean Street,West of Ocean St. & Surf Dr.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL834,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County west of Ocean Street West of Ocean St. & Surf Dr.,"30.163362, -85.784906"
Bay,Gulf Lagoon Beach,Tarpon Street,Tarpon Street & Surf Drive,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL836,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County Tarpon Street Tarpon Street & Surf Drive,"30.164751, -85.787033"
Okaloosa,Fort Walton Beach,Newman C. Brackin Wayside Park,1300 Miracle Strip Parkway,No,No,0.0,No,0.0,Yes,400,No,0.0,Yes,Yes,No,No,Yes,FL286,Full Access With Parking,Fort Walton Beach Okaloosa County,Fort Walton Beach Okaloosa County Newman C. Brackin Wayside Park 1300 Miracle Strip Parkway,"30.394671, -86.591288"
Okaloosa,"Okaloosa Island, national seashore",Gulf Island National Seashore - South of Mircle Strip Pkwy SE,"Acces pt on State Road 30, 2.5 miles east of other Gulf Island National Seashore unit, 2.4 mileasts east. of  Ft. Walton Beach Park",Yes,No,0.0,No,0.0,Yes,275,No,0.0,No,Yes,No,No,No,FL288,Full Access With Parking,"Okaloosa Island, national seashore Okaloosa County","Okaloosa Island, national seashore Okaloosa County Gulf Island National Seashore - South of Mircle Strip Pkwy SE Acces pt on State Road 30, 2.5 miles east of other Gulf Island National Seashore unit, 2.4 mileasts east. of  Ft. Walton Beach Park","30.39506795, -86.57794307"
Okaloosa,Fort Walton Beach,John Beasley Park,1550 Miracle Strip Parkway,No,No,0.0,No,0.0,Yes,208,No,0.0,Yes,Yes,No,No,Yes,FL287,Full Access With Parking,Fort Walton Beach Okaloosa County,Fort Walton Beach Okaloosa County John Beasley Park 1550 Miracle Strip Parkway,"30.394545, -86.583861"
Okaloosa,Fort Walton  Beach,Beach Access 2,2nd Beach Pakr & Santa Rosa Blvd.,No,No,0.0,No,0.0,Yes,25,No,0.0,Yes,Yes,No,No,Yes,FL283,Full Access With Parking,Fort Walton  Beach Okaloosa County,Fort Walton  Beach Okaloosa County Beach Access 2 2nd Beach Pakr & Santa Rosa Blvd.,"30.396433, -86.607553"
Okaloosa,Fort Walton Beach,Beach Access 4,4th Beach Park &  Santa Rosa Blvd.,No,No,0.0,No,0.0,Yes,25,No,0.0,Yes,Yes,No,No,Yes,FL281,Full Access With Parking,Fort Walton Beach Okaloosa County,Fort Walton Beach Okaloosa County Beach Access 4 4th Beach Park &  Santa Rosa Blvd.,"30.397232, -86.616701"
Okaloosa,Destin,Shirah Street,Shirah Street & Highway 98 E,Yes,No,0.0,No,0.0,Yes,6,Yes,1.0,Yes,No,No,Yes,No,FL299,Full Access,Destin Okaloosa County,Destin Okaloosa County Shirah Street Shirah Street & Highway 98 E,"30.382822, -86.428382"
Okaloosa,Destin,Hutchinson Street,Hutchinson St. & Highway 98 E,Yes,No,0.0,No,0.0,Yes,6,Yes,1.0,No,No,Yes,No,No,FL300,Full Access,Destin Okaloosa County,Destin Okaloosa County Hutchinson Street Hutchinson St. & Highway 98 E,"30.38265278, -86.42611111"
Nassau,Fernandina Beach,36,S Fletcher Ave. & Kissimmee Ave.,Yes,No,0.0,No,0.0,Yes,8,No,0.0,No,No,No,No,Yes,FL969,Full Access,Fernandina Beach Nassau County,Fernandina Beach Nassau County 36 S Fletcher Ave. & Kissimmee Ave.,"30.61537432, -81.44172393"
Nassau,Fernandina Beach,35,S Fletcher Ave. & Manatee Ave.,Yes,No,0.0,No,0.0,Yes,12,No,0.0,No,No,No,No,Yes,FL963,Full Access With Parking,Fernandina Beach Nassau County,Fernandina Beach Nassau County 35 S Fletcher Ave. & Manatee Ave.,"30.6177582, -81.44136658"
Nassau,Fernandina Beach,34,S Fletcher Ave. & Mantanzas Ave.,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL962,Full Access,Fernandina Beach Nassau County,Fernandina Beach Nassau County 34 S Fletcher Ave. & Mantanzas Ave.,"30.6189563, -81.44116671"
Nassau,Fernandina Beach,31,S Fletcher Ave. & Hutchins Ave.,Yes,No,0.0,No,0.0,Yes,12,No,0.0,No,No,No,No,Yes,FL961,Full Access With Parking,Fernandina Beach Nassau County,Fernandina Beach Nassau County 31 S Fletcher Ave. & Hutchins Ave.,"30.62216635, -81.44053029"
Nassau,Fernandina Beach,29,S Fletcher Ave. & S Casino Ave,Yes,No,0.0,No,0.0,Yes,4,No,0.0,No,No,No,No,Yes,FL959,Full Access,Fernandina Beach Nassau County,Fernandina Beach Nassau County 29 S Fletcher Ave. & S Casino Ave,"30.62626292, -81.43964811"
Nassau,Fernandina Beach,28,S Fletcher Ave. & N Casino Ave.,Yes,No,0.0,No,0.0,Yes,11,No,0.0,No,No,No,No,Yes,FL958,Full Access With Parking,Fernandina Beach Nassau County,Fernandina Beach Nassau County 28 S Fletcher Ave. & N Casino Ave.,"30.62772992, -81.43935221"
Bay,"Panama City Beach, Laguna Beach",Endless Summer,325' west of Shalimar Street; on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL813,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Endless Summer 325' west of Shalimar Street; on Front Beach Road","30.230907, -85.907579"
Bay,"Panama City Beach, Laguna Beach",east of Sundial Street,between Sundial St. & Cobb Rd. on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL811,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County east of Sundial Street between Sundial St. & Cobb Rd. on Front Beach Road","30.229191, -85.903885"
Bay,"Panama City Beach, Laguna Beach",east of Cobb Road,east of end of Cobb Road; on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL810,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County east of Cobb Road east of end of Cobb Road; on Front Beach Road","30.228626, -85.902881"
Bay,"Panama City Beach, Laguna Beach",Lake Circle east,between 16317 & 16311 Front Beach Road; south of Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL800,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Lake Circle east between 16317 & 16311 Front Beach Road; south of Front Beach Road","30.217038, -85.879722"
Bay,Laguna Beach,16th Street,16th St. & Front Beach Rd.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL798,Full Access,Laguna Beach Bay County,Laguna Beach Bay County 16th Street 16th St. & Front Beach Rd.,"30.244523, -85.936131"
Bay,"Panama City Beach, Laguna Beach",15th Street,15th St. & Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,Yes,Yes,FL797,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County 15th Street 15th St. & Front Beach Road","30.244092, -85.935175"
Bay,"Panama City Beach, Laguna Beach",east of 14th Street,east of south end of 14th Street on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,Yes,Yes,FL796,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County east of 14th Street east of south end of 14th Street on Front Beach Road","30.243668, -85.934165"
Bay,"Panama City Beach, Laguna Beach",Horizon South Beach,Horizon Drive & Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL808,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Horizon South Beach Horizon Drive & Front Beach Road","30.227992, -85.901214"
Bay,"Panama City Beach, Laguna Beach",Front Beach Road south of El Centro Blvd,east of Dick Arnold Drive on Front Beach Rd.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL807,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Front Beach Road south of El Centro Blvd east of Dick Arnold Drive on Front Beach Rd.","30.221994, -85.889707"
Walton,Seaside,south end of Live Oak Street,"2680 E. County Hwy 30-A; south end of Live Oak Street, south of CR 30A",Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL17,Full Access,Seaside Walton County,"Seaside Walton County south end of Live Oak Street 2680 E. County Hwy 30-A; south end of Live Oak Street, south of CR 30A","30.317523, -86.131119"
Escambia,Pensacola Beach,"Pensacola Beach Gulf Pier; Pensacola Beach Park,",41 Fort Pickens Rd.,No,No,0.0,No,0.0,Yes,135,Yes,4.0,No,Yes,No,No,No,FL664,Full Access With Parking,Pensacola Beach Escambia County,"Pensacola Beach Escambia County Pensacola Beach Gulf Pier; Pensacola Beach Park, 41 Fort Pickens Rd.","30.331296, -87.142788"
Pinellas,Indian Shores,200th Avenue,200th Avenue & Gulf Blvd.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL114,Full Access,Indian Shores Pinellas County,Indian Shores Pinellas County 200th Avenue 200th Avenue & Gulf Blvd.,"27.865776, -82.848971"
Escambia,Rosamond Johnson Beach,"Gulf Islands National Seashore, Perdido Key","Perido Key, East Johnson Beach Rd",Yes,Yes,8.0,No,8.0,Yes,200,Yes,8.0,Yes,Yes,Yes,Yes,Yes,FL655,Full Access With Parking,Rosamond Johnson Beach Escambia County,"Rosamond Johnson Beach Escambia County Gulf Islands National Seashore, Perdido Key Perido Key, East Johnson Beach Rd","30.29946989, -87.41399877"
Escambia,"Perdido Key State Park, Pensacola",Escambia City Beach Access #2,14261 Perido Key Drive,Yes,No,0.0,No,0.0,Yes,18,Yes,1.0,No,Yes,Yes,Yes,Yes,FL657,Full Access With Parking,"Perdido Key State Park, Pensacola Escambia County","Perdido Key State Park, Pensacola Escambia County Escambia City Beach Access #2 14261 Perido Key Drive","30.295186, -87.441675"
Escambia,"Perdido Key State Park, Pensacola",Escambia City Beach Access #3,River Rd. &  Perido Key Drive,Yes,No,0.0,No,0.0,Yes,27,Yes,1.0,No,Yes,Yes,Yes,Yes,FL658,Full Access With Parking,"Perdido Key State Park, Pensacola Escambia County","Perdido Key State Park, Pensacola Escambia County Escambia City Beach Access #3 River Rd. &  Perido Key Drive","30.29392559, -87.45144747"
Escambia,"Rosamond Johnson Beach, Pensacola",Escambia City Beach Access #1,South End of Sandy Key Drive,No,No,0.0,No,0.0,Yes,42,Yes,42.0,No,Yes,No,No,Yes,FL656,Limited Access,"Rosamond Johnson Beach, Pensacola Escambia County","Rosamond Johnson Beach, Pensacola Escambia County Escambia City Beach Access #1 South End of Sandy Key Drive","30.297481, -87.427179"
Escambia,"Perdido Key State Park, Pensacola",Perido Key State Park east - SR292,"about .8 miles W of River Rd on Perdido Key Drive
",Yes,Yes,3.0,No,3.0,Yes,45,Yes,2.0,No,Yes,Yes,Yes,Yes,FL652,Full Access With Parking,"Perdido Key State Park, Pensacola Escambia County","Perdido Key State Park, Pensacola Escambia County Perido Key State Park east - SR292 about .8 miles W of River Rd on Perdido Key Drive
","30.291692, -87.465637"
Pinellas,Clearwater Beach,Kendall St.,Kendall St. & Mandalay Ave.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,Yes,No,No,FL1280,Full Access,Clearwater Beach Pinellas County,Clearwater Beach Pinellas County Kendall St. Kendall St. & Mandalay Ave.,"27.98555089, -82.82666388"
Pinellas,Clearwater Beach,Bohemia Circle South,Bohemia Circle South & Eldorado Ave.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL180,Full Access,Clearwater Beach Pinellas County,Clearwater Beach Pinellas County Bohemia Circle South Bohemia Circle South & Eldorado Ave.,"27.9917887, -82.827701"
Bay,Biltmore Beach,east of Irwin Street,Between Irwin and Huff St. on Gulf Dr.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL864,Full Access,Biltmore Beach Bay County,Biltmore Beach Bay County east of Irwin Street Between Irwin and Huff St. on Gulf Dr.,"30.14132284, -85.75446843"
Bay,Biltmore Beach,Luff Street,Luff St. & Gulf Dr.,Yes,No,0.0,No,0.0,Yes,1,No,0.0,No,No,No,No,No,FL873,Full Access,Biltmore Beach Bay County,Biltmore Beach Bay County Luff Street Luff St. & Gulf Dr.,"30.1454318, -85.759622"
Dixie,Horseshoe Beach,Butler-Douglas Memorial Park,"Hwy 351 to 8th Ave West, West end of  8th Ave",No,No,0.0,No,0.0,Yes,25,No,0.0,No,No,No,No,No,FL703,Full Access With Parking,Horseshoe Beach Dixie County,"Horseshoe Beach Dixie County Butler-Douglas Memorial Park Hwy 351 to 8th Ave West, West end of  8th Ave","29.43979722, -83.29320278"
Levy,Cedar Key,Sand Spit Park,G Street & 1st Street,No,No,0.0,No,0.0,Yes,12,No,0.0,No,No,No,No,No,FL427,Full Access With Parking,Cedar Key Levy County,Cedar Key Levy County Sand Spit Park G Street & 1st Street,"29.13443072, -83.03587416"
Levy,Atsena Otie Key,Cedar NWR,Atsena Otie Key,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL429,Full Access,Atsena Otie Key Levy County,Atsena Otie Key Levy County Cedar NWR Atsena Otie Key,"29.126395, -83.033151"
Levy,Cedar Key City Beach,Cedar Key City Beach,1st St. & A St.,No,No,0.0,No,0.0,Yes,15,Yes,1.0,No,Yes,No,Yes,No,FL428,Full Access With Parking,Cedar Key City Beach Levy County,Cedar Key City Beach Levy County Cedar Key City Beach 1st St. & A St.,"29.136986, -83.029802"
Monroe,Garden Key,Dry Tortugas National Park,"70 miles west of Key West accessible only by private boats, charter boats or seaplanes",Yes,Yes,5.0,No,5.0,No,0,No,0.0,No,Yes,Yes,No,Yes,FL302,Full Access,Garden Key Monroe County,"Garden Key Monroe County Dry Tortugas National Park 70 miles west of Key West accessible only by private boats, charter boats or seaplanes","24.627939, -82.871727"
Pinellas,Treasure Island,126th Avenue,"126th Avenue, West of Gulf Blvd.",Yes,No,0.0,Yes,0.0,Yes,11,Yes,1.0,No,No,No,No,Yes,FL209,Full Access With Parking,Treasure Island Pinellas County,"Treasure Island Pinellas County 126th Avenue 126th Avenue, West of Gulf Blvd.","27.779505, -82.781995"
Pinellas,Treasure Island,125th Avenue,"125th Avenue, West of Gulf Blvd.",Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL208,Full Access,Treasure Island Pinellas County,"Treasure Island Pinellas County 125th Avenue 125th Avenue, West of Gulf Blvd.","27.778979, -82.781301"
Pinellas,Treasure Island,124th Avenue,"124th Avenue, West of Gulf Blvd.",Yes,No,0.0,No,0.0,Yes,17,No,0.0,No,No,No,No,Yes,FL207,Full Access With Parking,Treasure Island Pinellas County,"Treasure Island Pinellas County 124th Avenue 124th Avenue, West of Gulf Blvd.","27.778451, -82.780746"
Bay,Hollywood Beach,west of Palm Beach Drive,In between Jamaica Lane & Palm Beach Dr. on  Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL780,Full Access,Hollywood Beach Bay County,Hollywood Beach Bay County west of Palm Beach Drive In between Jamaica Lane & Palm Beach Dr. on  Front Beach Road,"30.259449, -85.970681"
Bay,Hollywood Beach,Front Beach Road across from Shasta St.,near the intersection of Shasta St.&  Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL777,Full Access,Hollywood Beach Bay County,Hollywood Beach Bay County Front Beach Road across from Shasta St. near the intersection of Shasta St.&  Front Beach Road,"30.255758, -85.961619"
Bay,Hollywood Beach,west of Sandstorm Lane,West of Sandstorm Lane on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL776,Full Access,Hollywood Beach Bay County,Hollywood Beach Bay County west of Sandstorm Lane West of Sandstorm Lane on Front Beach Road,"30.25824622, -85.96738126"
Bay,Hollywood Beach,west of Ramsgate Harbor,west of 23011 Front Beach Road; east of Beachside,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL775,Full Access,Hollywood Beach Bay County,Hollywood Beach Bay County west of Ramsgate Harbor west of 23011 Front Beach Road; east of Beachside,"30.261091, -85.974926"
Bay,Gulf Lagoon Beach,Choctaw Street,Choctaw Street & Surf Drive,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL846,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County Choctaw Street Choctaw Street & Surf Drive,"30.15992487, -85.77987104"
Bay,Biltmore Beach,Irwin Street,Irwin St. & Gulf Dr.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL863,Full Access,Biltmore Beach Bay County,Biltmore Beach Bay County Irwin Street Irwin St. & Gulf Dr.,"30.141676, -85.754951"
Bay,Shell Island,Shell Island,between St. Andrews Bay and Gulf of Mexico,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL861,Full Access,Shell Island Bay County,Shell Island Bay County Shell Island between St. Andrews Bay and Gulf of Mexico,"30.083355, -85.661774"
Pinellas,Clearwater Beach,Aster Street,"Eldorado Ave, W of Mandalay Ave; S of Bohemia Circle South",Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL156,Full Access,Clearwater Beach Pinellas County,"Clearwater Beach Pinellas County Aster Street Eldorado Ave, W of Mandalay Ave; S of Bohemia Circle South","27.99080154, -82.827633"
Bay,Gulf Lagoon Beach,west of Cobia Street,West of Cobia St. &  Surf Drive,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL833,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County west of Cobia Street West of Cobia St. &  Surf Drive,"30.162854, -85.784199"
Bay,"Panama City Beach, Laguna Beach",Sands Street,Sands Street & Front Beach Road,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL815,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Sands Street Sands Street & Front Beach Road","30.23287589, -85.9111808"
Bay,Mexico Beach,east Mexico Beach,7th Street to County line SR386; south of US 98,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL909,Full Access,Mexico Beach Bay County,Mexico Beach Bay County east Mexico Beach 7th Street to County line SR386; south of US 98,"29.935626, -85.400602"
Gulf,Beacon Hill,Veteran's Memorial Park (Beacon Hill Community Park),0.16 mile southeast of Burch Street; southwest of CR 30.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,Yes,No,No,Yes,FL551,Full Access,Beacon Hill Gulf County,Beacon Hill Gulf County Veteran's Memorial Park (Beacon Hill Community Park) 0.16 mile southeast of Burch Street; southwest of CR 30.,"29.916724, -85.379926"
Bay,Mexico Beach,8th Street,8th Street & US 98,Yes,No,0.0,No,0.0,No,0,No,0.0,No,Yes,Yes,No,No,FL907,Full Access,Mexico Beach Bay County,Mexico Beach Bay County 8th Street 8th Street & US 98,"29.936651, -85.402155"
Bay,Mexico Beach,Canal Lot,south end of Canal Park Drive; south of US 98,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL906,Full Access,Mexico Beach Bay County,Mexico Beach Bay County Canal Lot south end of Canal Park Drive; south of US 98,"29.93728429, -85.40297575"
Bay,Mexico Beach,10th Street,10th Street & US 98,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL905,Full Access,Mexico Beach Bay County,Mexico Beach Bay County 10th Street 10th Street & US 98,"29.938245, -85.404321"
Bay,Mexico Beach,14th Street,14th Street & US 98,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL903,Full Access,Mexico Beach Bay County,Mexico Beach Bay County 14th Street 14th Street & US 98,"29.939951, -85.406792"
Walton,Seaside,Van Ness Butler Jr.,1931 E. County Hwy 30-A,No,No,0.0,No,0.0,No,0,No,0.0,Yes,Yes,No,No,No,FL2,Limited Access,Seaside Walton County,Seaside Walton County Van Ness Butler Jr. 1931 E. County Hwy 30-A,"30.321068, -86.142185"
Walton,Seaside,Dogwood Street,"2560 E. County Hwy 30-A; between Dogwood and Thyme Street, south of CR 30A",Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL1,Full Access,Seaside Walton County,"Seaside Walton County Dogwood Street 2560 E. County Hwy 30-A; between Dogwood and Thyme Street, south of CR 30A","30.318123, -86.132877"
Walton,Santa Rosa Beach,South Gulf Drive,Eastern Lake Road & S Gulf Dr.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,Yes,Yes,Yes,FL37,Full Access,Santa Rosa Beach Walton County,Santa Rosa Beach Walton County South Gulf Drive Eastern Lake Road & S Gulf Dr.,"30.307517, -86.096613"
Okaloosa,Destin,Henderson Beach State Park,"17000 Emerald Coast Parkway, Henderson Beach Road",Yes,Yes,4.0,No,4.0,Yes,150,Yes,12.0,Yes,Yes,Yes,Yes,Yes,FL297,Full Access With Parking,Destin Okaloosa County,"Destin Okaloosa County Henderson Beach State Park 17000 Emerald Coast Parkway, Henderson Beach Road","30.384456, -86.445614"
Okaloosa,Destin,June White Decker Beach Access,Scenic Hwy 98 & S end of Restaurant Rd.,Yes,No,0.0,No,0.0,Yes,1,No,0.0,No,Yes,Yes,Yes,Yes,FL293,Full Access,Destin Okaloosa County,Destin Okaloosa County June White Decker Beach Access Scenic Hwy 98 & S end of Restaurant Rd.,"30.38411111, -86.45677778"
Okaloosa,Destin,Barracuda Street,Old Highway 98 acress from Barracuda Street,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL3002,Full Access,Destin Okaloosa County,Destin Okaloosa County Barracuda Street Old Highway 98 acress from Barracuda Street,"30.38214471, -86.42064146"
Okaloosa,Destin,Crystal Beach,Old Highway 98 acress from Crystal Beach Drive,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL3003,Full Access,Destin Okaloosa County,Destin Okaloosa County Crystal Beach Old Highway 98 acress from Crystal Beach Drive,"30.38245688, -86.42338922"
Walton,Seaside,south end of Nightcap Street,Nightcap St. & E County Hwy. 30A,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL16,Full Access,Seaside Walton County,Seaside Walton County south end of Nightcap Street Nightcap St. & E County Hwy. 30A,"30.31731674, -86.13034949"
Walton,Seagrove,County Highway 395,E County Highway 30A &  S County Hwy 395,No,No,0.0,No,0.0,Yes,2,Yes,2.0,No,No,No,No,No,FL15,Full Access,Seagrove Walton County,Seagrove Walton County County Highway 395 E County Highway 30A &  S County Hwy 395,"30.317002, -86.129437"
Walton,Seagrove,south end between Azalea and Cmelia street,Between Azalea and Camellia St. on County Hwy 30A,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL13,Full Access,Seagrove Walton County,Seagrove Walton County south end between Azalea and Cmelia street Between Azalea and Camellia St. on County Hwy 30A,"30.31642739, -86.12734697"
Walton,Seagrove,Gardenia Street,Gardenia St. & E County Hwy 30A,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL12,Full Access,Seagrove Walton County,Seagrove Walton County Gardenia Street Gardenia St. & E County Hwy 30A,"30.316151, -86.126029"
Escambia,"Pensacola Beach, Casino Beach",Pedestrian Walkway 1,140 ft east of Casino Beach Boulevard; south of  Via de Luna Drive,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL678,Full Access,"Pensacola Beach, Casino Beach Escambia County","Pensacola Beach, Casino Beach Escambia County Pedestrian Walkway 1 140 ft east of Casino Beach Boulevard; south of  Via de Luna Drive","30.33215596, -87.13644708"
Escambia,"Pensacola Beach, Casino Beach",Ariola Drive Pedestrian Walkway 6,between Avenida 12 and 13 Streets on Ariola Dr.,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL686,Full Access,"Pensacola Beach, Casino Beach Escambia County","Pensacola Beach, Casino Beach Escambia County Ariola Drive Pedestrian Walkway 6 between Avenida 12 and 13 Streets on Ariola Dr.","30.33448417, -87.12428568"
Escambia,Pensacola Beach,"Santa Rosa Island Authority, James P. Morgan Park",Pensacola Beach Boulevard southeast of the Toll Gate Plaza (Bay side),No,No,0.0,No,0.0,Yes,8,Yes,8.0,No,No,No,No,Yes,FL662,Full Access,Pensacola Beach Escambia County,"Pensacola Beach Escambia County Santa Rosa Island Authority, James P. Morgan Park Pensacola Beach Boulevard southeast of the Toll Gate Plaza (Bay side)","30.340286, -87.147181"
Escambia,Pensacola Beach,Santa Rosa Island Authority (east),"south of Hwy 399 Ft. Pickens Road, 1500 ft. west of bend in Hwy 399",No,No,0.0,No,0.0,Yes,2,No,0.0,No,No,No,No,Yes,FL661,Full Access,Pensacola Beach Escambia County,"Pensacola Beach Escambia County Santa Rosa Island Authority (east) south of Hwy 399 Ft. Pickens Road, 1500 ft. west of bend in Hwy 399","30.32869061, -87.15288586"
Escambia,"Pensacola Beach, Casino Beach",Casino Beach,Fort Pickens Rd. & Pensacola Beach Blvd.,Yes,No,0.0,No,0.0,Yes,1000,Yes,15.0,Yes,Yes,Yes,Yes,Yes,FL663,Full Access With Parking,"Pensacola Beach, Casino Beach Escambia County","Pensacola Beach, Casino Beach Escambia County Casino Beach Fort Pickens Rd. & Pensacola Beach Blvd.","30.33182251, -87.14070126"
Escambia,"Pensacola Beach, Casino Beach",Ariola Drive Pedestrian Walkway 2,between Avienda 10 and 11 Streets on Ariola Dr.,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL673,Full Access,"Pensacola Beach, Casino Beach Escambia County","Pensacola Beach, Casino Beach Escambia County Ariola Drive Pedestrian Walkway 2 between Avienda 10 and 11 Streets on Ariola Dr.","30.33354708, -87.13008685"
